House Vote #11 2021-01-07T03:08:00 - On Agreeing to the Objection [Electoral College Votes from Pennsylvania],,,,,
person,state,district,vote,name,party
412780,KS,3,Nay,Rep. Sharice Davids [D],Democrat
412781,MA,3,Nay,Rep. Lori Trahan [D],Democrat
412782,MA,7,Nay,Rep. Ayanna Pressley [D],Democrat
412783,MD,6,Not Voting,Rep. David Trone [D],Democrat
412784,MI,8,Nay,Rep. Elissa Slotkin [D],Democrat
412785,MI,9,Nay,Rep. Andy Levin [D],Democrat
412786,MI,11,Nay,Rep. Haley Stevens [D],Democrat
412787,MI,13,Not Voting,Rep. Rashida Tlaib [D],Democrat
412788,MN,1,Yea,Rep. Jim Hagedorn [R],Republican
412789,MN,2,Nay,Rep. Angie Craig [D],Democrat
412790,MN,3,Nay,Rep. Dean Phillips [D],Democrat
412791,MN,5,Nay,Rep. Ilhan Omar [D],Democrat
412792,MN,8,Nay,Rep. Pete Stauber [R],Republican
412793,MS,3,Yea,Rep. Michael Guest [R],Republican
412794,ND,0,Nay,Rep. Kelly Armstrong [R],Republican
412795,NH,1,Nay,Rep. Chris Pappas [D],Democrat
412796,NJ,2,Yea,Rep. Jefferson Van Drew [R],Republican
412797,NJ,3,Nay,Rep. Andy Kim [D],Democrat
412798,NJ,7,Nay,Rep. Tom Malinowski [D],Democrat
412799,NJ,11,Nay,Rep. Mikie Sherrill [D],Democrat
412800,NM,1,Nay,Rep. Debra Haaland [D],Democrat
412802,NV,3,Nay,Rep. Susie Lee [D],Democrat
412804,NY,14,Nay,Rep. Alexandria Ocasio-Cortez [D],Democrat
412805,NY,19,Nay,Rep. Antonio Delgado [D],Democrat
412807,OH,16,Nay,Rep. Anthony Gonzalez [R],Republican
412809,PA,4,Nay,Rep. Madeleine Dean [D],Democrat
412810,PA,6,Nay,Rep. Chrissy Houlahan [D],Democrat
412811,PA,9,Yea,Rep. Daniel Meuser [R],Republican
412812,PA,13,Yea,Rep. John Joyce [R],Republican
412813,PA,14,Yea,Rep. Guy Reschenthaler [R],Republican
412815,SC,4,Yea,Rep. William Timmons [R],Republican
412816,SD,0,Nay,Rep. Dusty Johnson [R],Republican
412817,TN,2,Yea,Rep. Tim Burchett [R],Republican
412818,TN,6,Yea,Rep. John Rose [R],Republican
412819,TN,7,Yea,Rep. Mark Green [R],Republican
412820,TX,2,Nay,Rep. Dan Crenshaw [R],Republican
412821,TX,3,Nay,Rep. Van Taylor [R],Republican
412822,TX,5,Yea,Rep. Lance Gooden [R],Republican
